Title,URL,Image URL,Time,Tags,Extracted Title,Extracted Time
,https://www.nasa.gov/directorates/armd/nasa-funds-new-studies-looking-at-future-of-sustainable-aircraft/,https://www.nasa.gov/wp-content/uploads/2024/11/electra-nasa-aaces-concept-image.jpg?w=1024,,,NASA Funds New Studies Looking at Future of Sustainable Aircraft,"NOV 12, 2024"
,https://www.nasa.gov/missions/voyager-program/voyager-2/mining-old-data-from-nasas-voyager-2-solves-several-uranus-mysteries/,https://www.nasa.gov/wp-content/uploads/2024/11/1-pia18182-uranus-globe.jpg?w=1024,,,Mining Old Data From NASA’s Voyager 2 Solves Several Uranus Mysteries,"NOV 11, 2024"
,https://science.nasa.gov/solar-system/skywatching/whats-up-november-2024-skywatching-tips-from-nasa/,https://science.nasa.gov/wp-content/uploads/2024/05/milkyway-desrt-tree-credit-preston-dyches-1.jpg,,,What’s Up: November 2024 Skywatching Tips from NASA,"NOV 01, 2024"
,https://science.nasa.gov/blog/peculiar-pale-pebbles/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/mars2020/2024/perseverance-rover-updates/Mars_Perseverance_NRF_1311_0783336942_145ECM_N0611928NCAM02311_01_195J.png,,,Peculiar Pale Pebbles,"NOV 12, 2024"
,https://www.nasa.gov/missions/voyager-program/voyager-2/mining-old-data-from-nasas-voyager-2-solves-several-uranus-mysteries/,https://www.nasa.gov/wp-content/uploads/2024/11/1-pia18182-uranus-globe.jpg?w=1024,,,Mining Old Data From NASA’s Voyager 2 Solves Several Uranus Mysteries,"NOV 11, 2024"
,https://science.nasa.gov/missions/hubble/hubble-captures-a-galaxy-with-many-lights/,https://science.nasa.gov/wp-content/uploads/2024/11/hubble-ngc1672-withsn-potw2445c.jpg,,,Hubble Captures a Galaxy with Many Lights,"NOV 08, 2024"
,https://www.nasa.gov/centers-and-facilities/johnson/station-science-top-news-nov-8-2024/,https://www.nasa.gov/wp-content/uploads/2024/11/iss050e054455.jpg?w=1024,,,"Station Science Top News: Nov. 8, 2024","NOV 12, 2024"
,https://www.nasa.gov/humans-in-space/commercial-space/leo-economy/nasa-shares-space-food-insight-with-commercial-food-industry/,https://www.nasa.gov/wp-content/uploads/2024/07/iss071e297201.jpg?w=1024,,,NASA Shares Space Food Insight with Commercial Food Industry,"NOV 07, 2024"
,https://www.nasa.gov/hrp/hero/,https://www.nasa.gov/wp-content/uploads/2024/08/hero.png?w=1024,,,N/A,N/A
,https://science.nasa.gov/science-research/science-enabling-technology/technology-highlights/nasa-developed-technology-supports-ocean-wind-speed-measurements-from-commercial-satellite/,https://assets.science.nasa.gov/dynamicimage/assets/science/cds/science-enabling-technology/technology-highlights/2024/NGRx_Image_2.jpg,,,NASA-developed Technology Supports Ocean Wind Speed Measurements from Commercial Satellite,"NOV 12, 2024"
