web-scraper-order,web-scraper-start-url,newsselector,newsselector-href,title,description,images-src,topic
"1728749800-1","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","Kings to enter AFC Challenge League sans Robson","","",""
"1728749800-2","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","Five-time professional football league champions Bashundhara Kings will be without their inspirational forward Robson Da Silva in both international and domestic circuits. The club released the long-serving Brazilian two days ago, despite having enrolled him for both the newly introduced AFC Challenge League and the upcoming 2024-25 domestic season.","",""
"1728749800-3","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","Robson first signed up for Kings in the 2020-21 season, before being re-signed for a two-year contract, which will come to an end at the end of November.","",""
"1728749800-4","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","Kings started their pre-season preparations on September 18 -- keeping the Challenge League and domestic competitions in mind -- but the 29-year-old forward did not turn up to the preparation camp in Dhaka, allegedly demanding advance money for three months up to next November.","",""
"1728749800-5","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","""We had the option of extending his contract by one year, but currently he is within six months of his contract and is open to talks with other clubs for a potential contract. So, in our extension talks, he is demanding an unimaginable amount, which is not practical from a Bangladesh perspective. We have to think about the entire team, and no player is bigger than the club itself. Thus, we have decided not to extend his contract at this point in time,"" Kings' media manager Ahmed Shaaek told The Daily Star.","",""
"1728749800-6","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","However, another source informed that the club management verbally released Robson three days ago as the club is not in a position to send him advance money due to the current situation in the country and some restrictions from the bank.","",""
"1728749800-7","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","It was also reported that Robson is all set to sign with East Bengal FC, especially after Kings' former Spanish coach Oscar Bruzon joined the Kolkata-based club -- an opponent of Kings in the Challenge League, scheduled for October 26 to November 1 in Thimphu, Bhutan.","",""
"1728749800-8","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","Robson had been a key figure in establishing Kings' dominance in the domestic circuit, often stepping up with crucial goals to secure victories for the team in important matches. Over the course of four years, beginning with the 2020-21 season, he scored nearly 75 goals in around 100 domestic appearances.","",""
"1728749800-9","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","Robson was also the key player for Bashundhara Kings in their AFC Cup campaign over the last three editions, where the Brazilian struck four goals. This time, Bashundhara Kings were also relying on Robson to make history by leading the team out of the group stage in the AFC Challenge League.","",""
"1728749800-10","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","Ahmed Shaaek informed that they are bringing in Jasur Jumaev of Uzbekistan and Omar Sarr of Gambia from Fortis FC on loan, and have signed Charles Didier Brossou, Miguel Ferreira, Isaiah Ejeh, Jared Khasa, and Jonathan Fernandes.","",""
"1728749800-11","https://www.thedailystar.net/sports","Kings to enter AFC Challenge League sans Robson","https://www.thedailystar.net/sports/football/news/kings-enter-afc-challenge-league-sans-robson-3724896","","","","Football"
"1728749803-12","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","Italy squander two-goal lead in Belgium draw","","",""
"1728749803-13","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","","Italy were held to a 2-2 draw by Belgium on Thursday after Lorenzo Pellegrini was sent off as they squandered a 2-0 lead in Nations League A Group 2.","",""
"1728749803-14","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","","Italy scored in the first minute when winger Federico Di Marco fired a low cross into the box and Belgium keeper Koen Casteels saved the first shot from Andrea Cambiaso who bundled in the rebound.","",""
"1728749803-15","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","","Italy doubled the lead in the 24th minute when Di Marco volleyed the ball across the field to Cambiaso who was denied a second by Casteels but striker Mateo Retegui knocked in the loose ball.","",""
"1728749803-16","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","","Italy midfielder Pellegrini was sent off for hitting Belgium's Theate following a VAR review and Belgium immediately hit back.","",""
"1728749803-17","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","","Maxim De Cuyper halved the deficit, curling in a shot from the edge of the box after a free kick routine. Belgium equalised in the 61th minute when Leandro Trossard poked home from close range.","",""
"1728749803-18","https://www.thedailystar.net/sports","Italy squander two-goal lead in Belgium draw","https://www.thedailystar.net/sports/football/news/italy-squander-two-goal-lead-belgium-draw-3725181","","","","Football"
"1728749807-19","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","England gamble backfires as Pavlidis fires emotional Greece to victory","","",""
"1728749807-20","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Lee Carsley's tactical gamble backfired as England crashed to a shock 2-1 defeat against emotional Greece in the Nations League on Thursday.","",""
"1728749807-21","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Vangelis Pavlidis's second half strike put Greece ahead at Wembley just 24 hours after the tragic death of team-mate George Baldock.","",""
"1728749807-22","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Jude Bellingham looked to have spared Carsley's blushes with a late equaliser, but Pavlidis struck again in stoppage-time to hand the England interim manager the first defeat of his reign.","",""
"1728749807-23","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","England were booed off at the final whistle, signalling the end of Carsley's honeymoon period after victories over Ireland and Finland in his first games in charge in September.","",""
"1728749807-24","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Carsley had earned plaudits for his attacking game-plan in those matches, which stood in stark contrast to his ultra-cautious predecessor Gareth Southgate.","",""
"1728749807-25","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","But he went a step too far against Greece, deploying an unusual line-up featuring no recognised striker as he opted to pack the team with five attacking midfielders.","",""
"1728749807-26","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","With England captain Harry Kane sidelined by the injury he suffered playing for Bayern Munich last weekend, Carsley ignored the claims of Ollie Watkins and Dominic Solanke.","",""
"1728749807-27","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Bellingham and Phil Foden, both used to playing deeper for England, were the nominal strikers, with Bukayo Saka and Anthony Gordon on the flanks and Cole Palmer taking up a central midfield role instead of the number 10 position in which he thrives for Chelsea.","",""
"1728749807-28","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","It was familiar territory for Carsley, who led England's Under-21s to European Championship glory last year using a formation without a striker that featured Palmer in midfield.","",""
"1728749807-29","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","But England never adapted to the system and were constantly unhinged by Greece counter-attacks with only Declan Rice acting as a defensive midfielder.","",""
"1728749807-30","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","In attack, Foden and Bellingham often got in the way of each other and England mustered just one shot on target in the first 75 minutes","",""
"1728749807-31","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","England sit second in Nations League B2 group, three points behind Greece, with Carsley facing accusations of tactical naivety and now in need of a victory in Finland on Sunday to reignite his hopes of taking charge of the Three Lions on a permanent basis.","",""
"1728749807-32","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","- Sloppy England pay price -","",""
"1728749807-33","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","There was a minute's silence just before kick-off for Baldock, an English-born Greece international who drowned in his swimming pool in Athens.","",""
"1728749807-34","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","And Baldock, who joined Greek side Panathinaikos from Sheffield United earlier this year, was given a fitting tribute by his team's dynamic victory.","",""
"1728749807-35","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Bellingham, back after missing the opening games of Carsley's reign, was often played as a false nine for Real Madrid last season.","",""
"1728749807-36","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","He went close to an early opener when his curler from the edge of the area forced a superb tip over from Odysseas Vlachodimos.","",""
"1728749807-37","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","But, foreshadowing the problems to come, Jordan Pickford was fortunate to escape unscathed after the England keeper carelessly lost possession to Anastasios Bakasetas, whose shot forced Levi Colwill to make a brilliant stretching clearance off the line.","",""
"1728749807-38","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","England's wasteful finishing came back to haunt them in the 49th minute when Pavlidis took Giorgos Masouras's pass, deftly wriggled past four defenders in the area and planted a fine finish into the far corner from 12 yards.","",""
"1728749807-39","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","In a touching tribute to their former team-mate, Pavlidis held up his black armband as he ran to the Greece fans, while several of his team-mates displayed a shirt with Baldock's name and number.","",""
"1728749807-40","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Carsley's no-striker experiment ended after 60 minutes when he sent on Watkins for Gordon and moved Bellingham into midfield, while Foden was replaced to make way for Solanke.","",""
"1728749807-41","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","Bellingham looked to have saved England in the 87th minute as he lashed home after Solanke's cutback reached him on the edge of the area.","",""
"1728749807-42","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","But an alarming evening for Carsley reached a fitting conclusion in stoppage-time when Pavlidis drilled low past Pickford after Colwill and Rico Lewis made a hash of clearing the danger.","",""
"1728749807-43","https://www.thedailystar.net/sports","England gamble backfires as Pavlidis fires emotional Greece to victory","https://www.thedailystar.net/sports/football/news/england-gamble-backfires-pavlidis-fires-emotional-greece-victory-3725191","","","","Football"
"1728749810-44","https://www.thedailystar.net/sports","Venezuela hold Argentina to 1-1 draw on Messi's return","https://www.thedailystar.net/sports/football/news/venezuela-hold-argentina-1-1-draw-messis-return-3725196","Venezuela hold Argentina to 1-1 draw on Messi's return","","",""
"1728749810-45","https://www.thedailystar.net/sports","Venezuela hold Argentina to 1-1 draw on Messi's return","https://www.thedailystar.net/sports/football/news/venezuela-hold-argentina-1-1-draw-messis-return-3725196","","Argentina were held to a 1-1 draw against Venezuela on Thursday in Lionel Messi's return to international duty in South America's World Cup qualifiers.","",""
"1728749810-46","https://www.thedailystar.net/sports","Venezuela hold Argentina to 1-1 draw on Messi's return","https://www.thedailystar.net/sports/football/news/venezuela-hold-argentina-1-1-draw-messis-return-3725196","","Captain Messi, 37, fully recovered from an injury sustained in the Copa America final against Colombia in July, was brilliant in setting up Otamendi on a drenched pitch to open the scoring 13 minutes after kick-off, which was delayed by half an hour due to heavy rain.","",""
"1728749810-47","https://www.thedailystar.net/sports","Venezuela hold Argentina to 1-1 draw on Messi's return","https://www.thedailystar.net/sports/football/news/venezuela-hold-argentina-1-1-draw-messis-return-3725196","","A fierce Venezuela equalised in the second half when Salomon Rondon's header from Yeferson Soteldo's pass beat goalkeeper Geronimo Rulli, who filled in for Emiliano 'Dibu' Martinez as he is serving a two-match ban for offensive behaviour.","",""
"1728749810-48","https://www.thedailystar.net/sports","Venezuela hold Argentina to 1-1 draw on Messi's return","https://www.thedailystar.net/sports/football/news/venezuela-hold-argentina-1-1-draw-messis-return-3725196","","Argentina remain top of the standings with 19 points and will face Bolivia on Tuesday, while Venezuela, who moved up to sixth on 11 points, visit Paraguay.","",""
"1728749810-49","https://www.thedailystar.net/sports","Venezuela hold Argentina to 1-1 draw on Messi's return","https://www.thedailystar.net/sports/football/news/venezuela-hold-argentina-1-1-draw-messis-return-3725196","","","","Football"
"1728749813-50","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","Strike rate weighing Tigers down in T20Is","","",""
"1728749813-51","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","Low strike rates and an inability to clear the ropes more frequently have long been Bangladesh's stumbling blocks in the shortest format. Those frailties got badly exposed in the first two T20Is of the three-match series against India, where the hosts completely decimated the visitors even with an inexperienced line-up.","",""
"1728749813-52","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","After losing the first T20I in Gwalior by seven wickets, in which India chased down a 128-run target inside 12 overs, the Tigers got hammered by 86 runs in the following match in Delhi, reaching 135-9 in reply to the hosts' massive total of 221-9.","",""
"1728749813-53","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","In the second T20I, the Indian batters bombarded Bangladesh with 15 sixes, making use of the shorter straight boundaries, whereas Bangladesh could hit just four, three fewer than India's Nitish Kumar Reddy.","",""
"1728749813-54","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","This difference in the number of sixes is the outward symptom of Bangladesh's underlying issue -- low strike rate of the batters.","",""
"1728749813-55","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","Looking at the strike rates of Bangladesh players who have made at least 300 runs in T20Is, the number one spot is occupied by former captain Mashrafe Bin Mortaza, who retired from the format in 2017. He scored 377 runs in 39 innings at a strike rate of 136.10.","",""
"1728749813-56","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","There is no one else even in the 130-mark, with Towhid Hridoy (127.25) occupying the second spot while in the third spot is another former captain Mohammad Ashraful (126.40), who last played a T20I in 2013.","",""
"1728749813-57","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","In comparison, under the same criteria, Rinku Singh tops the chart for India with a staggering strike rate of 175.09. In fact, the number does not drop below 140 in the top 10 for India, with Rohit Sharma's strike rate of 140.89 granting him the 10th spot.","",""
"1728749813-58","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","To really hit the point home on how far the Bangladesh batters are lagging behind, Mashrafe's strike rate in T20Is ranks 108th in the world among players from both full members and associate nations who have made at least 300 runs in the format.","",""
"1728749813-59","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","Bangladesh being so far behind is not surprising, however, considering the lower strike rates in the country's only franchise-based domestic T20 tournament: Bangladesh Premier League (BPL).","",""
"1728749813-60","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","There have been 10 BPL editions so far and in none of them has the tournament strike rate crossed the 130 mark, with the 2019-20 edition coming the closest at 129.40.","",""
"1728749813-61","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","Interestingly, the inaugural edition in 2012 is second in the list with 125.07, a clear indication that batting in BPL has remained the same in over a decade at a time when the format has become much more dynamic worldwide, with the strike rate in this year's IPL being at 150.58.","",""
"1728749813-62","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","As long as the strike rate of batters remain low, Bangladesh's fortunes in T20Is will remain bleak and more humiliations at the hands of superior teams will be inevitable.","",""
"1728749813-63","https://www.thedailystar.net/sports","Strike rate weighing Tigers down in T20Is","https://www.thedailystar.net/sports/cricket/news/strike-rate-weighing-tigers-down-t20is-3724921","","","","Cricket"
"1728749815-64","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","BPL 2025 players' draft: Key details and what to expect","","",""
"1728749815-65","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","The 11th edition of the Bangladesh Premier League (BPL) T20 players' draft is set to take place at the Pan Pacific Sonargaon Dhaka on Monday. The draft will feature both local and overseas players, categorised according to their respective grades.","",""
"1728749815-66","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","The event will be broadcast live on T Sports and streamed live on Bangladesh Cricket Board's (BCB) social media platforms as well as the BPL's official Facebook page. Here's everything you need to know ahead of the event:","",""
"1728749815-67","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","FRANCHISES","",""
"1728749815-68","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","• Fortune Barishal, by Fortune Shoes Limited

• Rangpur Riders, by Toggy Sports Limited

• Khulna Tigers, by Mind Tree

• Sylhet Strikers, by Future Sports Bangladesh Limited

• Dhaka Capitals, by Champions Sports Limited – supported by Walton Group / Harlan & Remarks brand

• Durbar Rajshahi, by Valentine Group

• Chittagong Kings, by SQ Sports Enterprise Limited","",""
"1728749815-69","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","TOTAL SQUAD","",""
"1728749815-70","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","The minimum franchise squad size is 12 players (local: 10 and overseas: 2), and the maximum is unlimited, as any team can register an unlimited number of overseas players. However, maximum local player registration is limited to 14.","",""
"1728749815-71","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","FIXED REMUNERATION CAP (LOCAL)","",""
"1728749815-72","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","Each franchise will have a fixed remuneration cap of Tk four crore for recruiting local players. All teams are required to ensure that their expenditure on local player recruitment remains within this designated remuneration cap. The expenses for retention and direct signing players will not be counted towards the fixed remuneration cap for local players.","",""
"1728749815-73","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","LOCAL PLAYER RETENTION AND DIRECT SIGNING FOR EXISTING TEAMS","",""
"1728749815-74","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","Franchise teams can retain a maximum of two local players from their squad from the previous edition. This local retention policy is applicable only to the following four existing franchise teams: Fortune Barishal, Sylhet Strikers, Khulna Tigers, and Rangpur Riders. Existing teams, who have the option to retain players, can recruit only one local player from any category.","",""
"1728749815-75","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","LOCAL PLAYER DIRECT SIGNING FOR NEW TEAMS","",""
"1728749815-76","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","The newly awarded franchises -- Dhaka Capitals, Durbar Rajshahi, and Chittagong Kings -- can recruit two local players from any category as a direct signing from the local players' draft list.","",""
"1728749815-77","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","AUCTION FOR UNSOLD CATEGORY 'A' PLAYERS","",""
"1728749815-78","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","If an 'A' category player remains unsold after the draft process, the draft commissioner will invite the interested franchises for an auction to grab the designated players. The base price for these unsold players will be set at 50% of the player's total remuneration. If the auction of a particular 'A' category player reaches Tk 60 lakh -- the top price cap for the tournament -- and multiple franchises are still interested in acquiring the player, a lottery system will decide the final winner. Each subsequent bid increment shall be a minimum of Tk five lakh.","",""
"1728749815-79","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","FIXED REMUNERATION CAP (OVERSEAS)","",""
"1728749815-80","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","Each franchise will have a fixed remuneration cap of USD 2,50,000 for recruiting overseas players. A minimum of three overseas players must be recruited from the players' draft event.","",""
"1728749815-81","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","TOTAL LOCAL AND OVERSEAS PLAYERS","",""
"1728749815-82","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","A total of 188 local cricketers will be up for selection from the BPL players' draft 2025. The overseas list is expected to be ready by 12th October.","",""
"1728749815-83","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","LOCAL PRICE CAP","",""
"1728749815-84","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","The highest local price cap for next season will be Tk 60 lakh -- 25 percent less than the previous year -- while the lowest price cap will be Tk 10 lakh. There will be a total of six categories (from A to F) with price caps of Tk 60 lakh, Tk 40 lakh, Tk 25 lakh, Tk 20 lakh, Tk 15 lakh, and Tk 10 lakh.","",""
"1728749815-85","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","OVERSEAS PRICE CAP","",""
"1728749815-86","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","The overseas price cap starts with a highest of USD 70 thousand. There will be five different categories, and the lowest one is USD 15 thousand.","",""
"1728749815-87","https://www.thedailystar.net/sports","BPL 2025 players' draft: Key details and what to expect","https://www.thedailystar.net/sports/cricket/news/bpl-2025-players-draft-key-details-and-what-expect-3725281","","","","Cricket"
"1728749819-88","https://www.thedailystar.net/sports","Bangladesh’s semifinal hopes hang by a thread after West Indies defeat","https://www.thedailystar.net/sports/cricket/news/bangladeshs-semifinal-hopes-hang-thread-after-west-indies-defeat-3725286","Bangladesh’s semifinal hopes hang by a thread after West Indies defeat","","",""
